namevariant,preflabel,coords
searchable,canonical_form,geometry
fort Leijden,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Leyden,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Leiden,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
Fort Hitoelama,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Hitu Lama,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Enkhuizen,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
fort Enkhuijzen,|Lyden, fort (Ambon)|,Point(-3.5835 128.178)
Nootwijk fort,|Nootwijk, fort (Ambon)|,Point(-3.69703 128.186)
Noortwijk fort,|Nootwijk, fort (Ambon)|,Point(-3.69703 128.186)
Noordwijk fort,|Nootwijk, fort (Ambon)|,Point(-3.69703 128.186)
Ceith fort,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Ceijt,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Seith,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Seit,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Sonder Naam,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Sondernaam,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
fort Lebelehoe,|Ceith, fort (Ambon)|,Point(-3.59173 128.029)
Velsen fort,|Velsen, fort|,Point(-3.49844 128.692)
Velzen,|Velsen, fort|,Point(-3.49844 128.692)
Vlissingen fort,|Vlissingen, fort (Nussatello)|,Point(-3.64891 127.911)
fort Ureng,|Vlissingen, fort (Nussatello)|,Point(-3.64891 127.911)
fort Hatua,|Vlissingen, fort (Nussatello)|,Point(-3.64891 127.911)
redoute Flissingen,|Vlissingen, fort (Nussatello)|,Point(-3.64891 127.911)
Kuijlenburg fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Cuijlenburg fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Cuijlenburgh fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Kuylenburg fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Kuilenburg fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Culemborg fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Salomon fort,|Kuijlenburg, fort|,Point(-4.52162 129.942)
Hollandia fort,|Hollandia, fort (Banda)|,Point(-4.54739 129.881)
Lonthor fort,|Hollandia, fort (Banda)|,Point(-4.54739 129.881)
Lontoir fort,|Hollandia, fort (Banda)|,Point(-4.54739 129.881)
Dender fort,|Dender, fort|,Point(-4.5352 129.952)
Dannex fort,|Dender, fort|,Point(-4.5352 129.952)
Morgenstar fort,|Dender, fort|,Point(-4.5352 129.952)
Morgenster fort,|Dender, fort|,Point(-4.5352 129.952)
Voorzightigheid fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Voorsigtigheyd fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Voorsigtigheyt fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Voorsigtigheijt fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Voorzigtigheid fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Voorsigtigheijd fort,|Voorzightigheid, fort|,Point(-4.52687 129.908)
Watervlied fort,|Watervlied, fort|,Point(0 0)
Wilhelmus fort,|Wilhelmus, fort (Damar)|,Point(-1.0082 128.364)
Zeezigt fort,|Zeezigt, fort (Banda)|,Point(0 0)
Delfshaven fort,|Delfshaven, fort|,Point(-8.07417 127.152)
Delftshaven fort,|Delfshaven, fort|,Point(-8.07417 127.152)
Delft fort,|Delfshaven, fort|,Point(-8.07417 127.152)
Vollenhoven fort,|Delfshaven, fort|,Point(-8.07417 127.152)
Surosowan fort,|Surosowan, fort|,Point(-6.03814 106.156)
Diamant fort,|Surosowan, fort|,Point(-6.03814 106.156)
Diamand fort,|Surosowan, fort|,Point(-6.03814 106.156)
Kota Intan,|Surosowan, fort|,Point(-6.03814 106.156)
Gedong Kedaton Pakuwuan,|Surosowan, fort|,Point(-6.03814 106.156)
JongePetrusAlbertus fort,|Jonge Petrus Albertus, fort|,Point(0 0)
Hollandia fort,|Hollandia, fort (Tolukko)|,Point(0.813967 127.388)
Tolukko fort,|Hollandia, fort (Tolukko)|,Point(0.813967 127.388)
Terlucco fort,|Hollandia, fort (Tolukko)|,Point(0.813967 127.388)
Valkenburg fort,|Valkenburg, fort (Lampon Toulang Bawang)|,Point(0 0)
Jacatra fort,|Jacatra, fort|,Point(-6.14463 106.831)
Jacketraa fort,|Jacatra, fort|,Point(-6.14463 106.831)
Jakkatra fort,|Jacatra, fort|,Point(-6.14463 106.831)
Jaccatra fort,|Jacatra, fort|,Point(-6.14463 106.831)
Jacattra fort,|Jacatra, fort|,Point(-6.14463 106.831)
MeesterCornelis fort,Jatinegara,Point(-6.21607 106.863)
Mr.Cornelis fort,Jatinegara,Point(-6.21607 106.863)
Jatinegara,Jatinegara,Point(-6.21607 106.863)
Noordwijk fort,|Noordwijk, fort|,Point(-6.16789 106.831)
Noortwijck fort,|Noordwijk, fort|,Point(-6.16789 106.831)
Noordwijck fort,|Noordwijk, fort|,Point(-6.16789 106.831)
Quaal fort,|Quaal, fort|,Point(-6.0369 106.695)
Quala fort,|Quaal, fort|,Point(-6.0369 106.695)
Quall fort,|Quaal, fort|,Point(-6.0369 106.695)
Qual fort,|Quaal, fort|,Point(-6.0369 106.695)
Quale fort,|Quaal, fort|,Point(-6.0369 106.695)
Kwal fort,|Quaal, fort|,Point(-6.0369 106.695)
Kwala fort,|Quaal, fort|,Point(-6.0369 106.695)
Kuala fort,|Quaal, fort|,Point(-6.0369 106.695)
Rijswijk fort,|Rijswijk, fort (II)|,Point(-6.16744 106.82)
Rijswijck fort,|Rijswijk, fort (II)|,Point(-6.16744 106.82)
Reijswijk fort,|Rijswijk, fort (II)|,Point(-6.16744 106.82)
Chavonis fort,|Chavonis, fort|,Point(-33.9066 18.4219)
Gelderland fort,|Gelderland, fort (Pulicat)|,Point(13.4194 80.3163)
Geldria fort,|Gelderland, fort (Pulicat)|,Point(13.4194 80.3163)
GoetBegin fort,|Goet Begin, fort|,Point(-6.89115 110.64)
GoetGevolgh fort,|Goet Gevolgh, fort|,Point(-7.2 112.633)
Hersteller fort,|Hersteller, fort|,Point(-7.32505 110.505)
Herstelling fort,|Hersteller, fort|,Point(-7.32505 110.505)
Veldwachter fort,|Veldwachter, fort|,Point(-7.48333 110.667)
Colombo kasteel,|Colombo, kasteel|,Point(6.93417 79.8461)
Rotterdam fort,|Rotterdam, fort (Makassar)|,Point(-5.13418 119.406)
kasteelRotterdam Makassar,|Rotterdam, fort (Makassar)|,Point(-5.13418 119.406)
Ujung Pandang,|Rotterdam, fort (Makassar)|,Point(-5.13418 119.406)
fort Panyua,|Rotterdam, fort (Makassar)|,Point(-5.13418 119.406)
Mandasa fort,|Mandasa, fort|,Point(0 0)
Mandrasaha fort,|Mandasa, fort|,Point(0 0)
MandarSahaa fort,|Mandasa, fort|,Point(0 0)
Mandarsaha fort,|Mandasa, fort|,Point(0 0)
Mandarsa fort,|Mandasa, fort|,Point(0 0)
Mandasaha fort,|Mandasa, fort|,Point(0 0)
Mandhasaha fort,|Mandasa, fort|,Point(0 0)
Mandersaha fort,|Mandasa, fort|,Point(0 0)
Valkenburgh fort,|Valkenburgh, fort (Maros)|,Point(-4.98333 119.583)
Valkenburg fortMaros,|Valkenburgh, fort (Maros)|,Point(-4.98333 119.583)
Valkenborg fortMaros,|Valkenburgh, fort (Maros)|,Point(-4.98333 119.583)
Voorzorg fort,|Voorzorg, fort|,Point(0 0)
Waekzaemheyd fort,|Waekzaemheyd, fort|,Point(0 0)
Victoria fort,|Victoria, fort (Malabar)|,Point(0 0)
Vreede fort,|Vreede, fort (Malabar)|,Point(0 0)
Wilhelmus fort,|Wilhelmus, fort (Chowghat)|,Point(10.5251 76.0421)
Zeeborg fort,|Zeeborg, fort (Quilon)|,Point(8.88113 76.5681)
Cronenburg fort,|Cronenburg, fort|,Point(-1.35 100.567)
Vredenborg fort,|Vredenborg, fort (Priaman)|,Point(-0.6 100.15)
Vredenburg fortPriaman,|Vredenborg, fort (Priaman)|,Point(-0.6 100.15)
Vreedenburg fortPriaman,|Vredenborg, fort (Priaman)|,Point(-0.6 100.15)
Amsterdam fort,|Amsterdam, fort (Manado)|,Point(1.53333 124.917)
DenBriel fort,|Den Briel, fort (Obi)|,Point(-1.56926 127.412)
Bril fortObi,|Den Briel, fort (Obi)|,Point(-1.56926 127.412)
DeBril fortObi,|Den Briel, fort (Obi)|,Point(-1.56926 127.412)
Doornenburg fort,|Doornenburg, fort|,Point(2.74567 125.361)
Oranje fort,|Oranje, fort (Ternate)|,Point(0.792885 127.387)
Orangie fortTernate,|Oranje, fort (Ternate)|,Point(0.792885 127.387)
Melayu,|Oranje, fort (Ternate)|,Point(0.792885 127.387)
Melayo,|Oranje, fort (Ternate)|,Point(0.792885 127.387)
Maleye,|Oranje, fort (Ternate)|,Point(0.792885 127.387)
Zeelandia fort,|Zeelandia, fort (Formosa)|,Point(23.0018 120.161)
Oranje fortFormosa,|Zeelandia, fort (Formosa)|,Point(23.0018 120.161)
Provintia fort,|Zeelandia, fort (Formosa)|,Point(23.0018 120.161)
Tafasoho fort,|Tafasoho, fort|,Point(0.328697 127.347)
ZevenProvincieën fort,|Tafasoho, fort|,Point(0.328697 127.347)
Tafaco fort,|Tafasoho, fort|,Point(0.328697 127.347)
Tofasoha fort,|Tafasoho, fort|,Point(0.328697 127.347)
Gustavus fort,|Gustavus, fort|,Point(22.8908 88.392)
Vijfhoek fort,|Vijfhoek, fort|,Point(-6.1425 106.798)
Vijffhoek fort,|Vijfhoek, fort|,Point(-6.1425 106.798)
Vijffhoeck fort,|Vijfhoek, fort|,Point(-6.1425 106.798)
Barneveld fort,|Barneveld, fort|,Point(-0.624048 127.482)
Duinhoop fort,|Duinhoop, fort|,Point(-33.9193 18.4655)
Duijnhoop fort,|Duinhoop, fort|,Point(-33.9193 18.4655)
Duynhoop fort,|Duinhoop, fort|,Point(-33.9193 18.4655)
FrederikHendrik fort,|Frederik Hendrik, fort (Mauritius)|,Point(-20.3752 57.7227)
Coornhoop fort,|Coornhoop, fort|,Point(-33.9395 18.4722)
Pijl fort,|Pijl, fort|,Point(0 0)
VijfSinnen fort,|Vijf Sinnen, fort|,Point(10.75 79.8333)
Naarden fort,|Vijf Sinnen, fort|,Point(10.75 79.8333)
Provintia fort,|Provintia, fort (Taiwan)|,Point(22.9971 120.202)
fort de Provintie,|Provintia, fort (Taiwan)|,Point(22.9971 120.202)
Zoutelande fort,|Zoutelande, fort|,Point(-6.12764 106.783)
SouteLanden fort,|Zoutelande, fort|,Point(-6.12764 106.783)
Ancol fort,|Zoutelande, fort|,Point(-6.12764 106.783)
Ansjol fort,|Zoutelande, fort|,Point(-6.12764 106.783)
Antjol fort,|Zoutelande, fort|,Point(-6.12764 106.783)
Nieuwendam fort,|Nieuwendam, fort|,Point(0 0)
Zevenhoek fort,|Zevenhoek, fort|,Point(0 0)
