namevariant,adamlink,wikidata,preflabel,coords,begin_min,begin_max,end_min,end_max;
searchable,adamlink_url,wikidata_url,canonical_form,geometry,begin_min,begin_max,end_min,end_max;
Barentszstraat,https://adamlink.nl/geo/street/barentszstraat/306,http://www.wikidata.org/entity/Q1927036,Barentszstraat,Point(4.8871959866751 52.389065607444),1878,1878,0,0;
Barkasstraat,https://adamlink.nl/geo/street/barkasstraat/307,http://www.wikidata.org/entity/Q18942771,Barkasstraat,Point(4.9872394932316 52.363286253759),2006,2006,0,0;
Barkentijnkade,https://adamlink.nl/geo/street/barkentijnkade/308,http://www.wikidata.org/entity/Q18942794,Barkentijnkade,Point(4.989562519434 52.363397931005),2006,2006,0,0;
Barkpad,https://adamlink.nl/geo/street/barkpad/309,http://www.wikidata.org/entity/Q18942812,Barkpad,Point(4.9060548957291 52.404993985042),1965,1965,0,0;
Barndesteeg,https://adamlink.nl/geo/street/barndesteeg/311,http://www.wikidata.org/entity/Q18942891,Barndesteeg,Point(4.8981454706359 52.372582963305),1550,1550,0,0;
Barnevelderstraat,https://adamlink.nl/geo/street/barnevelderstraat/313,http://www.wikidata.org/entity/Q18942902,Barnevelderstraat,Point(5.0157144789293 52.305206921963),1987,1987,0,0;
Baron de Coubertinlaan,https://adamlink.nl/geo/street/baron-de-coubertinlaan/314,http://www.wikidata.org/entity/Q18943012,Baron de Coubertinlaan,Point(4.9173853842234 52.401186702649),1966,1966,0,0;
Baron G.A. Tindalplein,https://adamlink.nl/geo/street/baron-ga-tindalplein/315,http://www.wikidata.org/entity/Q18943036,Baron G.A. Tindalplein,Point(4.9419267974671 52.373926324913),1996,1996,0,0;
Baron G.A. Tindalstraat,https://adamlink.nl/geo/street/baron-ga-tindalstraat/316,http://www.wikidata.org/entity/Q18943037,Baron G.A. Tindalstraat,Point(4.9404834158017 52.373756881284),2000,2000,0,0;
Baron Schimmelpenninck van der Oyeweg,https://adamlink.nl/geo/street/baron-schimmelpenninck-van-der-oyeweg/317,http://www.wikidata.org/entity/Q18943053,Baron Schimmelpenninck van der Oyeweg,,1970,1970,0,0;
Baroniepad,https://adamlink.nl/geo/street/baroniepad/318,http://www.wikidata.org/entity/Q18943438,Baroniepad,Point(4.8989954687075 52.338180687489),1951,1951,0,0;
Baroniestraat,https://adamlink.nl/geo/street/baroniestraat/319,http://www.wikidata.org/entity/Q18943450,Baroniestraat,Point(4.8953643212799 52.340240450944),1939,1939,0,0;
Baronstraat,https://adamlink.nl/geo/street/baronstraat/320,http://www.wikidata.org/entity/Q18943497,Baronstraat,Point(4.9675092625615 52.320351890921),1995,1995,0,0;
Bart de Ligtstraat,https://adamlink.nl/geo/street/bart-de-ligtstraat/321,http://www.wikidata.org/entity/Q18943591,Bart de Ligtstraat,Point(4.9238829143825 52.346280562535),1989,1989,0,0;
Bart Poesiatstraat,https://adamlink.nl/geo/street/bart-poesiatstraat/322,http://www.wikidata.org/entity/Q18943599,Bart Poesiatstraat,Point(4.79733080693 52.350939404817),1960,1960,0,0;
Bart van Hovestraat,https://adamlink.nl/geo/street/bart-van-hovestraat/323,http://www.wikidata.org/entity/Q18943618,Bart van Hovestraat,Point(4.7989452781885 52.375567765519),1955,1955,0,0;
Bartholomeus Diazstraat,https://adamlink.nl/geo/street/bartholomeus-diazstraat/324,http://www.wikidata.org/entity/Q18943719,Bartholomeus Diazstraat,Point(4.8522729475795 52.369799569904),1924,1924,0,0;
Bartholomeus Drijfhoutstraat,https://adamlink.nl/geo/street/bartholomeus-drijfhoutstraat/325,http://www.wikidata.org/entity/Q18943727,Bartholomeus Drijfhoutstraat,Point(4.7954937779684 52.380832593198),1955,1955,0,0;
Bartholomeus Ruloffsstraat,https://adamlink.nl/geo/street/bartholomeus-ruloffsstraat/326,http://www.wikidata.org/entity/Q18943732,Bartholomeus Ruloffsstraat,Point(4.8791859989267 52.352226802457),1919,1919,0,0;
Bartholt Enthesstraat,https://adamlink.nl/geo/street/bartholt-enthesstraat/327,http://www.wikidata.org/entity/Q18943748,Bartholt Enthesstraat,Point(4.8024801703628 52.375136309137),1955,1955,0,0;
Basisweg,https://adamlink.nl/geo/street/basisweg/329,http://www.wikidata.org/entity/Q13435999,Basisweg,Point(4.8125882203513 52.392781479399),1962,1962,0,0;
Bastenakenstraat,https://adamlink.nl/geo/street/bastenakenstraat/330,http://www.wikidata.org/entity/Q18944062,Bastenakenstraat,Point(4.8148111760497 52.342999122506),1992,1992,0,0;
Bastingstraat,https://adamlink.nl/geo/street/bastingstraat/331,http://www.wikidata.org/entity/Q18944111,Bastingstraat,Point(4.9310241226076 52.393970030735),1967,1967,0,0;
Bataviastraat,https://adamlink.nl/geo/street/bataviastraat/332,http://www.wikidata.org/entity/Q18944269,Bataviastraat,Point(4.9409187336492 52.361139804054),1925,1925,0,0;
Batjanstraat,https://adamlink.nl/geo/street/batjanstraat/333,http://www.wikidata.org/entity/Q18944391,Batjanstraat,Point(4.9380302853479 52.359331339157),1923,1923,0,0;
Bauduinlaan,https://adamlink.nl/geo/street/bauduinlaan/334,http://www.wikidata.org/entity/Q18944488,Bauduinlaan,Point(4.748125459075 52.407460501851),1998,1998,0,0;
Bavinkhof,https://adamlink.nl/geo/street/bavinkhof/335,http://www.wikidata.org/entity/Q18944548,Bavinkhof,Point(4.9630174335664 52.385034217029),2002,2002,0,0;
Baweanstraat,https://adamlink.nl/geo/street/baweanstraat/336,http://www.wikidata.org/entity/Q18944565,Baweanstraat,Point(4.9449123946614 52.364030854758),1927,1927,0,0;
Beatrixpark,https://adamlink.nl/geo/street/beatrixpark/337,,Beatrixpark,Point(4.8771611034079 52.34249534828),1938,1938,0,0;
Becquerelstraat,https://adamlink.nl/geo/street/becquerelstraat/338,http://www.wikidata.org/entity/Q18942699,Becquerelstraat,Point(4.9251133031784 52.351321244591),1939,1939,0,0;
Beeckenstein,https://adamlink.nl/geo/street/beeckenstein/339,http://www.wikidata.org/entity/Q18942837,Beeckenstein,Point(4.8661866451788 52.324290182202),1960,1960,0,0;
Beek en Hoff,https://adamlink.nl/geo/street/beek-en-hoff/340,http://www.wikidata.org/entity/Q18942882,Beek en Hoff,Point(4.8000657710948 52.361657471941),1958,1958,0,0;
Beemdgrasstraat,https://adamlink.nl/geo/street/beemdgrasstraat/342,http://www.wikidata.org/entity/Q18943846,Beemdgrasstraat,Point(4.9996336349664 52.347339004092),2011,2011,0,0;
Beemsterstraat,https://adamlink.nl/geo/street/beemsterstraat/343,http://www.wikidata.org/entity/Q18943963,Beemsterstraat,Point(4.9455371904609 52.389755903594),1925,1925,0,0;
Beethovenplein,https://adamlink.nl/geo/street/beethovenplein/344,http://www.wikidata.org/entity/Q18944356,Beethovenplein,Point(4.8787425407877 52.339872609153),2008,2008,0,0;
Beethovenstraat,https://adamlink.nl/geo/street/beethovenstraat/345,http://www.wikidata.org/entity/Q18944378,Beethovenstraat,Point(4.8764507420653 52.342481283671),1925,1925,0,0;
Begijnensteeg,https://adamlink.nl/geo/street/begijnensteeg/346,http://www.wikidata.org/entity/Q18944593,Begijnensteeg,Point(4.8904886820989 52.369426601823),1342,1625,0,0;
Begijnhof,https://adamlink.nl/geo/street/begijnhof/347,http://www.wikidata.org/entity/Q1629214,Begijnhof,Point(4.8897787664271 52.369377217847),1380,1612,0,0;
Begoniastraat,https://adamlink.nl/geo/street/begoniastraat/348,http://www.wikidata.org/entity/Q18944742,Begoniastraat,Point(4.9099101712109 52.387361787592),1919,1919,0,0;
Beijerlandstraat,https://adamlink.nl/geo/street/beijerlandstraat/360,http://www.wikidata.org/entity/Q18945052,Beijerlandstraat,Point(4.9303481928114 52.392556364612),1931,1931,0,0;
Beijersweg,https://adamlink.nl/geo/street/beijersweg/361,,Beijersweg,,1939,1939,2005,2005;
Beiraweg,https://adamlink.nl/geo/street/beiraweg/362,http://www.wikidata.org/entity/Q18945200,Beiraweg,Point(4.749973921838 52.403655269506),2001,2001,0,0;
Beitelkade,https://adamlink.nl/geo/street/beitelkade/364,http://www.wikidata.org/entity/Q18945220,Beitelkade,Point(4.9232798538597 52.385725231119),1917,1917,0,0;
Belgiëplein,https://adamlink.nl/geo/street/belgieplein/365,,Belgiëplein,Point(4.8112760831725 52.345575890139),1991,1991,0,0;
Bellamydwarsstraat,https://adamlink.nl/geo/street/bellamydwarsstraat/366,http://www.wikidata.org/entity/Q18945695,Bellamydwarsstraat,Point(4.8645385702077 52.367267978465),1896,1896,0,0;
Bellamyplein,https://adamlink.nl/geo/street/bellamyplein/367,,Bellamyplein,Point(4.8672155265166 52.368323053106),1904,1904,0,0;
Bellamystraat,https://adamlink.nl/geo/street/bellamystraat/368,http://www.wikidata.org/entity/Q18945708,Bellamystraat,Point(4.86457229014 52.366741311148),1896,1896,0,0;
Belmermeer,https://adamlink.nl/geo/street/belmermeer/369,http://www.wikidata.org/entity/Q18945941,Belmermeer,Point(5.0002394121113 52.425493155387),1921,1921,0,0;
Belmermeerpolder,https://adamlink.nl/geo/street/belmermeerpolder/370,,Belmermeerpolder,,1921,1921,0,0;
Beloegastraat,https://adamlink.nl/geo/street/beloegastraat/371,http://www.wikidata.org/entity/Q18945948,Beloegastraat,Point(4.8853562179274 52.42181782142),1991,1991,0,0;
Belvedereweg,https://adamlink.nl/geo/street/belvedereweg/372,http://www.wikidata.org/entity/Q18946023,Belvedereweg,Point(4.919666811361 52.345284319448),1947,1947,0,0;
Ben Alder,https://adamlink.nl/geo/street/ben-alder/373,http://www.wikidata.org/entity/Q18946053,Ben Alder,Point(4.7708329995009 52.352368259473),1993,1993,0,0;
Ben Avon,https://adamlink.nl/geo/street/ben-avon/374,http://www.wikidata.org/entity/Q18946054,Ben Avon,Point(4.7709475435195 52.352575575932),1993,1993,0,0;
Ben Hope,https://adamlink.nl/geo/street/ben-hope/375,http://www.wikidata.org/entity/Q18946065,Ben Hope,Point(4.7716583579434 52.35318145906),1993,1993,0,0;
Ben Lawers,https://adamlink.nl/geo/street/ben-lawers/376,http://www.wikidata.org/entity/Q18946067,Ben Lawers,Point(4.7702376230587 52.351906778254),1993,1993,0,0;
Ben Nevis,https://adamlink.nl/geo/street/ben-nevis/377,http://www.wikidata.org/entity/Q18946071,Ben Nevis,Point(4.770528033816 52.352132987418),1993,1993,0,0;
Ben van Meerendonkstraat,https://adamlink.nl/geo/street/ben-van-meerendonkstraat/378,http://www.wikidata.org/entity/Q18946079,Ben van Meerendonkstraat,Point(5.0083962130375 52.350916187079),2006,2006,0,0;
Ben Viljoenstraat,https://adamlink.nl/geo/street/ben-viljoenstraat/379,http://www.wikidata.org/entity/Q18946082,Ben Viljoenstraat,Point(4.9150357210823 52.352968426928),1923,1923,0,0;
Ben Websterstraat,https://adamlink.nl/geo/street/ben-websterstraat/380,http://www.wikidata.org/entity/Q18946085,Ben Websterstraat,Point(4.8231095818329 52.343587224417),1990,1990,0,0;
Ben Wyvis,https://adamlink.nl/geo/street/ben-wyvis/381,http://www.wikidata.org/entity/Q18946087,Ben Wyvis,Point(4.7715005261875 52.352919991207),1993,1993,0,0;
Benedenlangs,https://adamlink.nl/geo/street/benedenlangs/382,http://www.wikidata.org/entity/Q18946152,Benedenlangs,Point(4.9353162166712 52.398373027206),1968,1968,0,0;
Benit,https://adamlink.nl/geo/street/benit/383,http://www.wikidata.org/entity/Q18946270,Benit,Point(4.8062372598826 52.390321229988),2009,2009,0,0;
Benjamin Brittenstraat,https://adamlink.nl/geo/street/benjamin-brittenstraat/384,http://www.wikidata.org/entity/Q18946272,Benjamin Brittenstraat,Point(4.8705654594503 52.337395518401),2002,2002,0,0;
Benkoelenstraat,https://adamlink.nl/geo/street/benkoelenstraat/385,http://www.wikidata.org/entity/Q18946292,Benkoelenstraat,Point(4.9382445188783 52.363771888586),1913,1913,0,0;
Bennebroekstraat,https://adamlink.nl/geo/street/bennebroekstraat/386,http://www.wikidata.org/entity/Q18946316,Bennebroekstraat,Point(4.8486487066191 52.352864748004),1927,1927,0,0;
Benno Stokvisstraat,https://adamlink.nl/geo/street/benno-stokvisstraat/387,http://www.wikidata.org/entity/Q18946403,Benno Stokvisstraat,Point(4.9234807727005 52.346845215177),1989,1989,0,0;
Bentinckstraat,https://adamlink.nl/geo/street/bentinckstraat/388,http://www.wikidata.org/entity/Q2746786,Bentinckstraat,Point(4.8705271976173 52.383027777168),1898,1898,0,0;
Benzolweg,https://adamlink.nl/geo/street/benzolweg/389,http://www.wikidata.org/entity/Q18946645,Benzolweg,Point(4.8351983016473 52.407574018846),1959,1959,0,0;
Bep van Klaverenboulevard,https://adamlink.nl/geo/street/bep-van-klaverenboulevard/390,http://www.wikidata.org/entity/Q18946657,Bep van Klaverenboulevard,Point(4.9175106601904 52.403429595937),1994,1994,0,0;
Berberisstraat,https://adamlink.nl/geo/street/berberisstraat/391,http://www.wikidata.org/entity/Q18946719,Berberisstraat,Point(4.9161401045386 52.392734390108),1922,1922,0,0;
Berchvliet,https://adamlink.nl/geo/street/berchvliet/392,http://www.wikidata.org/entity/Q18946767,Berchvliet,Point(4.7988658271227 52.391328846798),2001,2001,0,0;
Berend Boeijingastraat,https://adamlink.nl/geo/street/berend-boeijingastraat/393,http://www.wikidata.org/entity/Q18946897,Berend Boeijingastraat,Point(4.9275163846098 52.407797431024),1996,1996,0,0;
Berenstraat,https://adamlink.nl/geo/street/berenstraat/394,http://www.wikidata.org/entity/Q18946977,Berenstraat,Point(4.8829864179579 52.370416254747),1625,1625,0,0;
Bergmolen,https://adamlink.nl/geo/street/bergmolen/395,http://www.wikidata.org/entity/Q18947550,Bergmolen,,1968,1968,0,0;
Bergstraat,https://adamlink.nl/geo/street/bergstraat/396,http://www.wikidata.org/entity/Q18947768,Bergstraat,Point(4.8890067376552 52.375645623934),1593,1625,0,0;
Beringenstraat,https://adamlink.nl/geo/street/beringenstraat/397,http://www.wikidata.org/entity/Q18948146,Beringenstraat,Point(4.8179054965329 52.346591195436),1991,1991,0,0;
Berkelstraat,https://adamlink.nl/geo/street/berkelstraat/399,http://www.wikidata.org/entity/Q18948348,Berkelstraat,Point(4.9032955470477 52.348732726343),1922,1922,0,0;
Berkhouthof,https://adamlink.nl/geo/street/berkhouthof/400,http://www.wikidata.org/entity/Q18949203,Berkhouthof,Point(4.9416269168444 52.392949848001),1948,1948,0,0;
Berlaarstraat,https://adamlink.nl/geo/street/berlaarstraat/401,http://www.wikidata.org/entity/Q18949315,Berlaarstraat,Point(4.8049275949936 52.345855714205),1991,1991,0,0;
Berlagehof,https://adamlink.nl/geo/street/berlagehof/402,http://www.wikidata.org/entity/Q18949324,Berlagehof,Point(4.7949875915455 52.376225651416),1955,1955,0,0;
Bernabeuhof,https://adamlink.nl/geo/street/bernabeuhof/403,http://www.wikidata.org/entity/Q18949525,Bernabeuhof,Point(4.9512986025855 52.344148649443),1998,1998,0,0;
Bernard Kochstraat,https://adamlink.nl/geo/street/bernard-kochstraat/404,http://www.wikidata.org/entity/Q18949610,Bernard Kochstraat,Point(4.858007800682 52.349626425605),1919,1919,0,0;
Bernard Leenepad,https://adamlink.nl/geo/street/bernard-leenepad/405,http://www.wikidata.org/entity/Q18949612,Bernard Leenepad,Point(4.917782509327 52.403105906876),1994,1994,0,0;
Bernard Loderstraat,https://adamlink.nl/geo/street/bernard-loderstraat/406,http://www.wikidata.org/entity/Q18949620,Bernard Loderstraat,Point(4.8137649983846 52.380814631744),1953,1953,0,0;
Bernard Shawsingel,https://adamlink.nl/geo/street/bernard-shawsingel/407,http://www.wikidata.org/entity/Q18949635,Bernard Shawsingel,Point(4.9459186742499 52.320417136835),1984,1984,0,0;
Bernard Zweerskade,https://adamlink.nl/geo/street/bernard-zweerskade/408,http://www.wikidata.org/entity/Q18949679,Bernard Zweerskade,Point(4.8797311541752 52.345632126625),1926,1926,0,0;
Bernhard Eilershof,https://adamlink.nl/geo/street/bernhard-eilershof/409,http://www.wikidata.org/entity/Q18949792,Bernhard Eilershof,Point(4.9946879679798 52.35757817571),2001,2001,0,0;
Bernissestraat,https://adamlink.nl/geo/street/bernissestraat/410,http://www.wikidata.org/entity/Q18950165,Bernissestraat,Point(4.8983856568711 52.342789620922),1929,1929,0,0;
Bert Haanstrahof,https://adamlink.nl/geo/street/bert-haanstrahof/411,http://www.wikidata.org/entity/Q18950219,Bert Haanstrahof,Point(4.9948065989284 52.359289077385),2001,2001,0,0;
Bert Haanstrakade,https://adamlink.nl/geo/street/bert-haanstrakade/412,http://www.wikidata.org/entity/Q18950221,Bert Haanstrakade,Point(4.9981585082018 52.358517204842),2001,2001,0,0;
Bertelmanplein,https://adamlink.nl/geo/street/bertelmanplein/413,http://www.wikidata.org/entity/Q18950232,Bertelmanplein,Point(4.858818942891 52.349297501959),1921,1921,0,0;
Bertelmanstraat,https://adamlink.nl/geo/street/bertelmanstraat/414,http://www.wikidata.org/entity/Q18950234,Bertelmanstraat,Point(4.8585506968087 52.348406514615),1921,1921,0,0;
Bertha von Suttnerstraat,https://adamlink.nl/geo/street/bertha-von-suttnerstraat/415,http://www.wikidata.org/entity/Q18950257,Bertha von Suttnerstraat,Point(4.9652489728985 52.322060513856),1997,1997,0,0;
Berthelotstraat,https://adamlink.nl/geo/street/berthelotstraat/416,http://www.wikidata.org/entity/Q18950275,Berthelotstraat,Point(4.942716044172 52.350253459133),1956,1956,0,0;
Berthold Brechtstraat,https://adamlink.nl/geo/street/berthold-brechtstraat/417,http://www.wikidata.org/entity/Q18950277,Berthold Brechtstraat,Point(4.9436593133651 52.317541587604),1981,1981,0,0;
Bertrand Russellstraat,https://adamlink.nl/geo/street/bertrand-russellstraat/418,http://www.wikidata.org/entity/Q18950300,Bertrand Russellstraat,Point(4.9203493660563 52.347363181817),1989,1989,0,0;
Bertus van Grouwstraat,https://adamlink.nl/geo/street/bertus-van-grouwstraat/419,http://www.wikidata.org/entity/Q18950336,Bertus van Grouwstraat,Point(4.8358570374269 52.382977742863),1953,1953,0,0;
Berzeliusstraat,https://adamlink.nl/geo/street/berzeliusstraat/420,http://www.wikidata.org/entity/Q18950363,Berzeliusstraat,Point(4.9329683730603 52.34903007388),1950,1950,0,0;
Bessemerstraat,https://adamlink.nl/geo/street/bessemerstraat/421,http://www.wikidata.org/entity/Q18950432,Bessemerstraat,Point(4.9244153873301 52.351604974898),1939,1939,0,0;
Bessenpad,https://adamlink.nl/geo/street/bessenpad/422,http://www.wikidata.org/entity/Q18950459,Bessenpad,Point(4.8931268214103 52.411820283589),1951,1951,0,0;
Bestevâerstraat,https://adamlink.nl/geo/street/bestevaerstraat/423,http://www.wikidata.org/entity/Q18950540,Bestevâerstraat,Point(4.8553553022306 52.38113455874),1922,1922,0,0;
Betelgeuzestraat,https://adamlink.nl/geo/street/betelgeuzestraat/424,http://www.wikidata.org/entity/Q18950581,Betelgeuzestraat,Point(4.8908060470789 52.41169374365),1921,1921,0,0;
Bethaniëndwarsstraat,https://adamlink.nl/geo/street/bethaniendwarsstraat/425,http://www.wikidata.org/entity/Q18950602,Bethaniëndwarsstraat,Point(4.8977818579488 52.371253194583),1570,1570,0,0;
Bethaniënstraat,https://adamlink.nl/geo/street/bethanienstraat/426,http://www.wikidata.org/entity/Q18950604,Bethaniënstraat,Point(4.8974913504409 52.371978083394),1506,1506,0,0;
Betuwestraat,https://adamlink.nl/geo/street/betuwestraat/427,http://www.wikidata.org/entity/Q18950862,Betuwestraat,Point(4.8942509182166 52.339547157734),1939,1939,0,0;
Beukenplein,https://adamlink.nl/geo/street/beukenplein/428,http://www.wikidata.org/entity/Q18951508,Beukenplein,Point(4.9181087217516 52.357419988331),1912,1912,0,0;
Beukenweg,https://adamlink.nl/geo/street/beukenweg/429,http://www.wikidata.org/entity/Q18951603,Beukenweg,Point(4.9174186857677 52.358029010233),1882,1882,0,0;
Beulingstraat,https://adamlink.nl/geo/street/beulingstraat/431,http://www.wikidata.org/entity/Q18951724,Beulingstraat,Point(4.8869455388863 52.367799224597),1593,1625,0,0;
Beurspassage,https://adamlink.nl/geo/street/beurspassage/432,http://www.wikidata.org/entity/Q18951801,Beurspassage,Point(4.8941258203795 52.374876133058),1905,1905,0,0;
Beursplein,https://adamlink.nl/geo/street/beursplein/433,,Beursplein,Point(4.8946766314507 52.374204347597),1911,1911,0,0;
Beurspoortje,https://adamlink.nl/geo/street/beurspoortje/434,,Beurspoortje,Point(4.8935199959531 52.372572755861),1915,1915,0,0;
Beursstraat,https://adamlink.nl/geo/street/beursstraat/435,http://www.wikidata.org/entity/Q2282292,Beursstraat,Point(4.8939495294082 52.373008535447),1875,1875,0,0;
Beurtschipstraat,https://adamlink.nl/geo/street/beurtschipstraat/436,,Beurtschipstraat,,1965,1965,0,0;
Beverenstraat,https://adamlink.nl/geo/street/beverenstraat/437,http://www.wikidata.org/entity/Q18951999,Beverenstraat,Point(4.8041256408955 52.344295130081),1994,1994,0,0;
Beverwijkstraat,https://adamlink.nl/geo/street/beverwijkstraat/438,http://www.wikidata.org/entity/Q18952129,Beverwijkstraat,Point(4.9560947771373 52.393246054777),1963,1963,0,0;
Beysterveld,https://adamlink.nl/geo/street/beysterveld/439,http://www.wikidata.org/entity/Q18952254,Beysterveld,Point(4.8871517250742 52.328211948118),1986,1986,0,0;
Bezaanjachtplein,https://adamlink.nl/geo/street/bezaanjachtplein/440,http://www.wikidata.org/entity/Q18952270,Bezaanjachtplein,Point(4.9152364002256 52.407833703548),1969,1969,0,0;
Bezembinderspad,https://adamlink.nl/geo/street/bezembinderspad/441,http://www.wikidata.org/entity/Q18952301,Bezembinderspad,Point(4.8820436630863 52.418379460138),1988,1988,0,0;
Bickersgracht,https://adamlink.nl/geo/street/bickersgracht/442,http://www.wikidata.org/entity/Q2137956,Bickersgracht,Point(4.8888072317142 52.385558214054),1625,1625,0,0;
Bickerswerf,https://adamlink.nl/geo/street/bickerswerf/443,http://www.wikidata.org/entity/Q18952362,Bickerswerf,Point(4.8892040100896 52.3855419078),2002,2002,0,0;
Bierbeekhof,https://adamlink.nl/geo/street/bierbeekhof/444,,Bierbeekhof,Point(4.8182413677396 52.344587586298),1992,1992,0,0;
Bierdragersgang,https://adamlink.nl/geo/street/bierdragersgang/445,,Bierdragersgang,Point(4.882929 52.377193),1625,1876,0,0;
Bierens de Haanstraat,https://adamlink.nl/geo/street/bierens-de-haanstraat/446,http://www.wikidata.org/entity/Q18952462,Bierens de Haanstraat,Point(4.8111816146652 52.373778730575),1954,1954,0,0;
Biesboschstraat,https://adamlink.nl/geo/street/biesboschstraat/447,http://www.wikidata.org/entity/Q18952596,Biesboschstraat,Point(4.8952307638516 52.344882982517),1927,1927,0,0;
Bieslookpad,https://adamlink.nl/geo/street/bieslookpad/448,http://www.wikidata.org/entity/Q18952736,Bieslookpad,Point(4.9132005421041 52.400639796616),1988,1988,0,0;
Bijlmerdreef,https://adamlink.nl/geo/street/bijlmerdreef/449,http://www.wikidata.org/entity/Q18953340,Bijlmerdreef,Point(4.9468975400044 52.313426108364),1968,1968,0,0;
Bijlmerplein,https://adamlink.nl/geo/street/bijlmerplein/452,,Bijlmerplein,Point(4.9542750016016 52.314583810762),1984,1984,0,0;
Bijlmerweide,https://adamlink.nl/geo/street/bijlmerweide/454,http://www.wikidata.org/entity/Q18953346,Bijlmerweide,,1979,1979,0,0;
Bijltjespad,https://adamlink.nl/geo/street/bijltjespad/455,http://www.wikidata.org/entity/Q1957099,Bijltjespad,Point(4.91655185114 52.371674743077),1974,1974,0,0;
Bilderdijkkade,https://adamlink.nl/geo/street/bilderdijkkade/457,http://www.wikidata.org/entity/Q18953554,Bilderdijkkade,Point(4.8717914719656 52.365874185976),1878,1878,0,0;
Bilderdijkpark,https://adamlink.nl/geo/street/bilderdijkpark/458,http://www.wikidata.org/entity/Q2312608,Bilderdijkpark,Point(4.8681918369017 52.371107295589),1912,1912,0,0;
Bilderdijkstraat,https://adamlink.nl/geo/street/bilderdijkstraat/459,http://www.wikidata.org/entity/Q1988651,Bilderdijkstraat,Point(4.8728597807776 52.366175427185),1878,1878,0,0;
Biljoen,https://adamlink.nl/geo/street/biljoen/460,,Biljoen,Point(4.8634635891339 52.331306624444),1962,1962,0,0;
Billie Holidaystraat,https://adamlink.nl/geo/street/billie-holidaystraat/461,http://www.wikidata.org/entity/Q18953843,Billie Holidaystraat,Point(4.8232529507899 52.342698114885),1990,1990,0,0;
Billitonstraat,https://adamlink.nl/geo/street/billitonstraat/462,http://www.wikidata.org/entity/Q18953868,Billitonstraat,Point(4.9386858980625 52.365634203649),1911,1911,0,0;
Binairstraat,https://adamlink.nl/geo/street/binairstraat/463,http://www.wikidata.org/entity/Q18953959,Binairstraat,Point(4.8823341146914 52.409336796268),2001,2001,0,0;
Binnen Bantammerstraat,https://adamlink.nl/geo/street/binnen-bantammerstraat/464,http://www.wikidata.org/entity/Q18954126,Binnen Bantammerstraat,Point(4.9015995429444 52.37406717208),1585,1612,0,0;
Binnen Brouwersstraat,https://adamlink.nl/geo/street/binnen-brouwersstraat/465,http://www.wikidata.org/entity/Q18954130,Binnen Brouwersstraat,Point(4.8902824474364 52.379749376211),1625,1625,0,0;
Binnen Dommersstraat,https://adamlink.nl/geo/street/binnen-dommersstraat/466,http://www.wikidata.org/entity/Q18954141,Binnen Dommersstraat,Point(4.8855487707815 52.383016578152),1625,1692,0,0;
Binnen Oranjestraat,https://adamlink.nl/geo/street/binnen-oranjestraat/467,http://www.wikidata.org/entity/Q18954153,Binnen Oranjestraat,Point(4.8870386228111 52.382180373409),1625,1625,0,0;
Binnen Vissersstraat,https://adamlink.nl/geo/street/binnen-vissersstraat/468,http://www.wikidata.org/entity/Q18954161,Binnen Vissersstraat,Point(4.8926527224654 52.379238012432),1593,1593,0,0;
Binnen Wieringerstraat,https://adamlink.nl/geo/street/binnen-wieringerstraat/469,http://www.wikidata.org/entity/Q18954170,Binnen Wieringerstraat,Point(4.8921521969585 52.379343773398),1630,1630,0,0;
Binnendraaierij,https://adamlink.nl/geo/street/binnendraaierij/470,http://www.wikidata.org/entity/Q18954376,Binnendraaierij,Point(4.9156817583778 52.38334045369),1983,1983,0,0;
Binnengasthuisstraat,https://adamlink.nl/geo/street/binnengasthuisstraat/471,http://www.wikidata.org/entity/Q18954426,Binnengasthuisstraat,Point(4.8946077267269 52.368669491951),1986,1986,0,0;
Binnenhofstraat,https://adamlink.nl/geo/street/binnenhofstraat/474,http://www.wikidata.org/entity/Q18954717,Binnenhofstraat,Point(4.9164853985627 52.39895521856),1927,1927,0,0;
Binnenkadijk,https://adamlink.nl/geo/street/binnenkadijk/476,http://www.wikidata.org/entity/Q18954725,Binnenkadijk,Point(4.9143522082942 52.368949581549),1983,1983,0,0;
Binnenkant,https://adamlink.nl/geo/street/binnenkant/477,http://www.wikidata.org/entity/Q18954730,Binnenkant,Point(4.9052081035114 52.373102472384),1645,1645,0,0;
Binnenvaart,https://adamlink.nl/geo/street/binnenvaart/479,http://www.wikidata.org/entity/Q18954875,Binnenvaart,Point(4.9169066329137 52.409753335217),1975,1975,0,0;
Binnenzagerij,https://adamlink.nl/geo/street/binnenzagerij/480,http://www.wikidata.org/entity/Q18955131,Binnenzagerij,Point(4.9163086371113 52.383783344045),1983,1983,0,0;
Biothof,https://adamlink.nl/geo/street/biothof/481,http://www.wikidata.org/entity/Q18955154,Biothof,Point(4.9408867330781 52.349725287787),1953,1953,0,0;
Bitterzoetstraat,https://adamlink.nl/geo/street/bitterzoetstraat/482,http://www.wikidata.org/entity/Q18955566,Bitterzoetstraat,Point(4.917291009165 52.39919209589),1927,1927,0,0;
Blaeu Erf,https://adamlink.nl/geo/street/blaeu-erf/483,http://www.wikidata.org/entity/Q18955860,Blaeu Erf,Point(4.8921472267103 52.374526344553),1342,1342,0,0;
