namevariant,adamlink,wikidata,preflabel,coords,begin_min,begin_max,end_min,end_max;
searchable,adamlink_url,wikidata_url,canonical_form,geometry,begin_min,begin_max,end_min,end_max;
Achillesstraat,https://adamlink.nl/geo/street/achillesstraat/34,http://www.wikidata.org/entity/Q18929555,Achillesstraat,Point(4.8645408392188 52.346977099511),1922,1922,0,0;
Achter Oosteinde,https://adamlink.nl/geo/street/achter-oosteinde/35,http://www.wikidata.org/entity/Q18930628,Achter Oosteinde,Point(4.9018837620368 52.359913325945),1881,1881,0,0;
Achterdek,https://adamlink.nl/geo/street/achterdek/36,,Achterdek,Point(4.9202417252511 52.413386246371),1975,1975,0,0;
Achtergouwtje (Zunderdorp),https://adamlink.nl/geo/street/achtergouwtje-zunderdorp/37,http://www.wikidata.org/entity/Q18931038,Achtergouwtje,Point(4.9637094621665 52.406593174635),1957,1957,0,0;
Achtergouwtje,https://adamlink.nl/geo/street/achtergouwtje-zunderdorp/37,http://www.wikidata.org/entity/Q18931038,Achtergouwtje,Point(4.9637094621665 52.406593174635),1957,1957,0,0;
Achtergracht,https://adamlink.nl/geo/street/achtergracht/38,http://www.wikidata.org/entity/Q2059752,Achtergracht,Point(4.9007101220419 52.360999376018),1662,1662,0,0;
Achterlaan (Zunderdorp),https://adamlink.nl/geo/street/achterlaan-zunderdorp/39,http://www.wikidata.org/entity/Q18931087,Achterlaan,Point(4.9670940141773 52.407274791829),1957,1957,0,0;
Achterlaan,https://adamlink.nl/geo/street/achterlaan-zunderdorp/39,http://www.wikidata.org/entity/Q18931087,Achterlaan,Point(4.9670940141773 52.407274791829),1957,1957,0,0;
Achtersteven,https://adamlink.nl/geo/street/achtersteven/40,http://www.wikidata.org/entity/Q18931231,Achtersteven,Point(4.918908993822 52.414324686343),1975,1975,0,0;
Achtkantenstovengang,https://adamlink.nl/geo/street/achtkantenstovengang/41,,Achtkantenstovengang,,1625,1876,1963,1974;
Ad Windighof,https://adamlink.nl/geo/street/ad-windighof/42,http://www.wikidata.org/entity/Q18931512,Ad Windighof,Point(5.0002262319062 52.357420645093),2001,2001,0,0;
Adam Smithplein,https://adamlink.nl/geo/street/adam-smithplein/43,http://www.wikidata.org/entity/Q18931531,Adam Smithplein,Point(4.8215312081874 52.340049431704),2000,2000,0,0;
Adam van Germezhof,https://adamlink.nl/geo/street/adam-van-germezhof/44,http://www.wikidata.org/entity/Q18931534,Adam van Germezhof,Point(4.8280205688674 52.354476771792),1955,1955,0,0;
Adama van Scheltemaplein,https://adamlink.nl/geo/street/adama-van-scheltemaplein/45,http://www.wikidata.org/entity/Q18931546,Adama van Scheltemaplein,Point(4.8734996067793 52.349187128624),1933,1933,0,0;
