namevariant,wikidata,preflabel,coords,begin,end
searchable,wikidata_url,canonical_form,geometry,begin_min,end_max
't Hoenstraat,http://www.wikidata.org/entity/Q19562046,'t Hoenstraat,Point(4.6287 52.3987),1921,
't Krom,http://www.wikidata.org/entity/Q19562318,'t Krom,Point(4.6414 52.3824),1562,
't Pand,http://www.wikidata.org/entity/Q19562629,'t Pand,Point(4.6345 52.3816),1543,
't Vaartje,http://www.wikidata.org/entity/Q19563019,'t Vaartje,Point(4.676 52.4153),1980,
't Vaartje (Spaarndam-West),http://www.wikidata.org/entity/Q19563019,'t Vaartje,Point(4.676 52.4153),1980,
't Zakje,http://www.wikidata.org/entity/Q19563257,'t Zakje,Point(4.6325 52.3774),1628,
A. Hofmanweg,http://www.wikidata.org/entity/Q18926534,A. Hofmanweg,Point(4.6671 52.3934),1970,
A.C. Krusemanstraat,http://www.wikidata.org/entity/Q18926655,A.C. Krusemanstraat,Point(4.6598 52.3802),1953,
A.L. Dyserinckstraat,http://www.wikidata.org/entity/Q18926771,A.L. Dyserinckstraat,Point(4.6468 52.3779),1889,
A.W.F. Idenburglaan,http://www.wikidata.org/entity/Q96380485,A.W.F. Idenburglaan,Point(4.626012 52.400536),1978,
A. W. F. van Idenburglaan,http://www.wikidata.org/entity/Q96380485,A.W.F. Idenburglaan,Point(4.626012 52.400536),1978,
Aagje Dekenstraat,http://www.wikidata.org/entity/Q18926973,Aagje Dekenstraat,Point(4.651 52.3776),1924,
Aart van der Leeuwstraat,http://www.wikidata.org/entity/Q18927978,Aart van der Leeuwstraat,Point(4.644943 52.415738),1954,
Abeelstraat,http://www.wikidata.org/entity/Q18928519,Abeelstraat,Point(4.641 52.4011),1926,
Abel Tasmankade,http://www.wikidata.org/entity/Q18928641,Abel Tasmankade,Point(4.6167 52.3827),1936,
Abel Tasmanstraat,http://www.wikidata.org/entity/Q18928641,Abel Tasmankade,Point(4.6167 52.3827),1936,
Abraham Mensstraat,http://www.wikidata.org/entity/Q18928858,Abraham Mensstraat,Point(4.6078 52.3812),1965,
Acaciastraat,http://www.wikidata.org/entity/Q18929144,Acaciastraat,Point(4.6344 52.401),1923,
Hulststraat,http://www.wikidata.org/entity/Q18929144,Acaciastraat,Point(4.6344 52.401),1923,
Achterlangs,http://www.wikidata.org/entity/Q18931098,Achterlangs,Point(4.6315 52.3816),2009,
Achterweg,http://www.wikidata.org/entity/Q18931368,Achterweg,Point(4.6399 52.3981),1200,
Doodweg,http://www.wikidata.org/entity/Q18931368,Achterweg,Point(4.6399 52.3981),1200,
Middenweg,http://www.wikidata.org/entity/Q18931368,Achterweg,Point(4.6399 52.3981),1200,
Adama van Scheltemaplantsoen,http://www.wikidata.org/entity/Q18931544,Adama van Scheltemaplantsoen,Point(4.6383 52.4106),1954,
Adlerstraat,http://www.wikidata.org/entity/Q18931696,Adlerstraat,Point(4.6673 52.3555),,
Adriaan de Jongestraat,http://www.wikidata.org/entity/Q18931835,Adriaan de Jongestraat,Point(4.6189 52.3739),1924,
Adriaan Loosjesstraat,http://www.wikidata.org/entity/Q18931864,Adriaan Loosjesstraat,Point(4.6526 52.3791),1905,
Tollenstraat,http://www.wikidata.org/entity/Q18931864,Adriaan Loosjesstraat,Point(4.6526 52.3791),1905,
Adriaan Paulenstraat,http://www.wikidata.org/entity/Q18931879,Adriaan Paulenstraat,Point(4.649 52.3859),,
Adriaan van der Willigenstraat,http://www.wikidata.org/entity/Q18931922,Adriaan van der Willigenstraat,Point(4.6598 52.3673),,
Aelbertsbergstraat,http://www.wikidata.org/entity/Q18932107,Aelbertsbergstraat,Point(4.63031888 52.393086865),1902,
Akendamstraat,http://www.wikidata.org/entity/Q18933358,Akendamstraat,Point(4.6326 52.3992),1925,
Alberdingk Thijmstraat,http://www.wikidata.org/entity/Q18934503,Alberdingk Thijmstraat,Point(4.654 52.3774),1919,
Albert Neuhuysstraat,http://www.wikidata.org/entity/Q96312740,Albert Neuhuysstraat,Point(4.632942 52.390523),2014,
Albert Schweitzerlaan,http://www.wikidata.org/entity/Q18934803,Albert Schweitzerlaan,Point(4.6611 52.3546),,
Albert Verweylaan,http://www.wikidata.org/entity/Q18935134,Albert Verweylaan,Point(4.6372 52.4087),1954,
Albion,http://www.wikidata.org/entity/Q18935346,Albion,Point(4.644191 52.357929),1988,
Aletta Jacobsstraat,http://www.wikidata.org/entity/Q18935957,Aletta Jacobsstraat,Point(4.6597 52.3536),,
Alexander Flemingstraat,http://www.wikidata.org/entity/Q18936144,Alexander Flemingstraat,Point(4.6585 52.3625),,
Alexander Polaplein,http://www.wikidata.org/entity/Q18936174,Alexander Polaplein,Point(4.6651 52.3806),1995,
Alexanderstraat,http://www.wikidata.org/entity/Q18936287,Alexanderstraat,Point(4.6272 52.3785),1881,
Allanstraat,http://www.wikidata.org/entity/Q18936527,Allanstraat,Point(4.6195 52.376),1914,
Allard Piersonstraat,http://www.wikidata.org/entity/Q18936535,Allard Piersonstraat,Point(4.6549 52.378),1930,
Alphons Ariënsstraat,http://www.wikidata.org/entity/Q18936940,Alphons Ariënsstraat,Point(4.6591 52.3561),,
Altenastraat,http://www.wikidata.org/entity/Q18932851,Altenastraat,Point(4.6334 52.4009),1929,
Amalia van Solmslaan,http://www.wikidata.org/entity/Q18933065,Amalia van Solmslaan,Point(4.635 52.3625),1924,
Ambachtstraat,http://www.wikidata.org/entity/Q18933609,Ambachtstraat,Point(4.6478 52.4073),1930,
Ambonstraat,http://www.wikidata.org/entity/Q18933965,Ambonstraat,Point(4.6541 52.4054),1989,
Amelandstraat,http://www.wikidata.org/entity/Q18934138,Amelandstraat,Point(4.6459 52.3538),,
Amerikaweg,http://www.wikidata.org/entity/Q18934290,Amerikaweg,Point(4.6539 52.3638),,
Amnesty Internationalweg,http://www.wikidata.org/entity/Q18934586,Amnesty Internationalweg,Point(4.6716 52.3786),,
Ampèrelaan,http://www.wikidata.org/entity/Q18934611,Ampèrelaan,Point(4.6108 52.3705),1921,
Ampzingstraat,http://www.wikidata.org/entity/Q18934828,Ampzingstraat,Point(4.62 52.3743),1894,
Amsterdamse Poort,http://www.wikidata.org/entity/Q18935262,Amsterdamse Poort,Point(4.6464 52.3806),1400,
Amsterdamsevaart,http://www.wikidata.org/entity/Q18935295,Amsterdamsevaart,Point(4.6486 52.3807),1631,
Amsterdamse Trekvaart,http://www.wikidata.org/entity/Q18935295,Amsterdamsevaart,Point(4.6486 52.3807),1631,
Amsterdamse Straatweg,http://www.wikidata.org/entity/Q18935295,Amsterdamsevaart,Point(4.6486 52.3807),1631,
Amsterdamsche Trekvaart,http://www.wikidata.org/entity/Q18935295,Amsterdamsevaart,Point(4.6486 52.3807),1631,
Amsterdamstraat,http://www.wikidata.org/entity/Q18935308,Amsterdamstraat,Point(4.648 52.3793),1883,
Andalusië,http://www.wikidata.org/entity/Q18935403,Andalusië,Point(4.6533 52.3589),,
Andorrastraat,http://www.wikidata.org/entity/Q18935541,Andorrastraat,Point(4.6507 52.3619),1960,
Polenstraat,http://www.wikidata.org/entity/Q18935541,Andorrastraat,Point(4.6507 52.3619),1960,
Anegang,http://www.wikidata.org/entity/Q17196020,Anegang,Point(4.63683128 52.379748261),1400,
Ane gang,http://www.wikidata.org/entity/Q17196020,Anegang,Point(4.63683128 52.379748261),1400,
Anijsstraat,http://www.wikidata.org/entity/Q18936766,Anijsstraat,Point(4.643 52.3672),1988,
Anjelierstraat,http://www.wikidata.org/entity/Q18936846,Anjelierstraat,Point(4.6164 52.373),1924,
Ankaraplantsoen,http://www.wikidata.org/entity/Q18937156,Ankaraplantsoen,Point(4.6516 52.3586),1969,
Anna Kaulbachstraat,http://www.wikidata.org/entity/Q18937627,Anna Kaulbachstraat,Point(4.6578 52.3782),1989,
Anna van Burenlaan,http://www.wikidata.org/entity/Q18937929,Anna van Burenlaan,Point(4.631607 52.362544),1924,
Anna van Saksenlaan,http://www.wikidata.org/entity/Q18938059,Anna van Saksenlaan,Point(4.6345 52.3636),1962,
Annie Dekker-Jonkerstraat,http://www.wikidata.org/entity/Q18938404,Annie Dekker-Jonkerstraat,Point(4.6602 52.3672),,
Anslijnstraat,http://www.wikidata.org/entity/Q18938653,Anslijnstraat,Point(4.6235 52.3843),1918,
Anthony Fokkerlaan,http://www.wikidata.org/entity/Q18938854,Anthony Fokkerlaan,Point(4.637765 52.407464),1939,
Iliaslaan,http://www.wikidata.org/entity/Q18938854,Anthony Fokkerlaan,Point(4.637765 52.407464),1939,
Antillenweg,http://www.wikidata.org/entity/Q18938996,Antillenweg,Point(4.6538 52.3635),,
Antonides van der Goesstraat,http://www.wikidata.org/entity/Q18939319,Antonides van der Goesstraat,Point(4.654 52.4193),1934,
Antoniestraat,http://www.wikidata.org/entity/Q17286360,Antoniestraat,Point(4.640212 52.377831),1876,
Achterstraat,http://www.wikidata.org/entity/Q17286360,Antoniestraat,Point(4.640212 52.377831),1876,
Antonio Netostraat,http://www.wikidata.org/entity/Q18939380,Antonio Netostraat,Point(4.6673 52.3768),,
Antwerpenstraat,http://www.wikidata.org/entity/Q18939548,Antwerpenstraat,Point(4.6462 52.359),1964,
Archipelstraat,http://www.wikidata.org/entity/Q18939998,Archipelstraat,Point(4.6503 52.4027),1922,
Arnoldystraat,http://www.wikidata.org/entity/Q18940538,Arnoldystraat,Point(4.6442 52.4029),1922,
Arnulfstraat,http://www.wikidata.org/entity/Q18940557,Arnulfstraat,Point(4.6482 52.3718),1922,
Arthur van Schendelpad,http://www.wikidata.org/entity/Q18940637,Arthur van Schendelpad,Point(4.640152 52.413523),,
Arthur van Schendelplantsoen,http://www.wikidata.org/entity/Q96942589,Arthur van Schendelplantsoen,Point(4.644365 52.415335),1954,
Top Naeffplantsoen,http://www.wikidata.org/entity/Q96942589,Arthur van Schendelplantsoen,Point(4.644365 52.415335),1954,
Assendelverstraat,http://www.wikidata.org/entity/Q18937408,Assendelverstraat,Point(4.6246 52.3818),1898,
Assumburg,http://www.wikidata.org/entity/Q18937568,Assumburg,Point(4.6481 52.3519),,
Asterstraat,http://www.wikidata.org/entity/Q18937774,Asterstraat,Point(4.6384 52.3743),1880,
Athenestraat,http://www.wikidata.org/entity/Q18938058,Athenestraat,Point(4.6469 52.3572),1960,
Atjehstraat,http://www.wikidata.org/entity/Q18938085,Atjehstraat,Point(4.6473 52.3977),1908,
Aziëweg,http://www.wikidata.org/entity/Q18939139,Aziëweg,Point(4.6593 52.3602),,
Baan,http://www.wikidata.org/entity/Q18940895,Baan,Point(4.6328 52.3743),1346,
Baan-Laan,http://www.wikidata.org/entity/Q18940895,Baan,Point(4.6328 52.3743),1346,
Baanlaan,http://www.wikidata.org/entity/Q18940895,Baan,Point(4.6328 52.3743),1346,
Baan (Haarlem),http://www.wikidata.org/entity/Q18940895,Baan,Point(4.6328 52.3743),1346,
Paviljoenslaan,http://www.wikidata.org/entity/Q18940895,Baan,Point(4.6328 52.3743),1346,
Baanlaan,http://www.wikidata.org/entity/Q98121763,Baanlaan,Point(4.632889 52.374544),,
Baan Laan,http://www.wikidata.org/entity/Q98121763,Baanlaan,Point(4.632889 52.374544),,
Badelochstraat,http://www.wikidata.org/entity/Q18941728,Badelochstraat,Point(4.6554 52.4168),1934,
Baden-Powellstraat,http://www.wikidata.org/entity/Q18941771,Baden-Powellstraat,Point(4.6619 52.3568),1967,
Badhuisstraat,http://www.wikidata.org/entity/Q18941810,Badhuisstraat,Point(4.6353 52.3735),1896,
Badmintonpad,http://www.wikidata.org/entity/Q18941901,Badmintonpad,Point(4.6254 52.396),1960,
Bakenessergracht,http://www.wikidata.org/entity/Q2458425,Bakenessergracht,Point(4.6402 52.3825),1400,
Bakenessergragt,http://www.wikidata.org/entity/Q2458425,Bakenessergracht,Point(4.6402 52.3825),1400,
Bakenesserstraat,http://www.wikidata.org/entity/Q18940978,Bakenesserstraat,Point(4.6426 52.3812),1486,
Klerk steeg,http://www.wikidata.org/entity/Q18940978,Bakenesserstraat,Point(4.6426 52.3812),1486,
Bakhuizen van den Brinkstraat,http://www.wikidata.org/entity/Q18941034,Bakhuizen van den Brinkstraat,Point(4.6562 52.381),1935,
Bakkerstraat,http://www.wikidata.org/entity/Q18941239,Bakkerstraat,Point(4.6391 52.3731),1700,
Bakkersloot,http://www.wikidata.org/entity/Q18941239,Bakkerstraat,Point(4.6391 52.3731),1700,
Bakkerslaan,http://www.wikidata.org/entity/Q18941239,Bakkerstraat,Point(4.6391 52.3731),1700,
Bakkumstraat,http://www.wikidata.org/entity/Q18941335,Bakkumstraat,Point(4.6302 52.3824),1628,
Bakkumsteeg,http://www.wikidata.org/entity/Q18941335,Bakkumstraat,Point(4.6302 52.3824),1628,
Balgzand,http://www.wikidata.org/entity/Q18941470,Balgzand,Point(4.6454 52.3529),,
Balistraat,http://www.wikidata.org/entity/Q18941536,Balistraat,Point(4.6449 52.398),1909,
Baljuwslaan,http://www.wikidata.org/entity/Q18941631,Baljuwslaan,Point(4.6417 52.3881),1620,
Quaeckelslaan,http://www.wikidata.org/entity/Q18941631,Baljuwslaan,Point(4.6417 52.3881),1620,
Bleeckerslaan,http://www.wikidata.org/entity/Q18941631,Baljuwslaan,Point(4.6417 52.3881),1620,
Laen van de baljuw Davidt Colterman,http://www.wikidata.org/entity/Q18941631,Baljuwslaan,Point(4.6417 52.3881),1620,
Koldermanslaan,http://www.wikidata.org/entity/Q18941631,Baljuwslaan,Point(4.6417 52.3881),1620,
Coltermanslaan,http://www.wikidata.org/entity/Q18941631,Baljuwslaan,Point(4.6417 52.3881),1620,
Bailliuwslaan,http://www.wikidata.org/entity/Q18941631,Baljuwslaan,Point(4.6417 52.3881),1620,
Bailluwslaan,http://www.wikidata.org/entity/Q18941631,Baljuwslaan,Point(4.6417 52.3881),1620,
Bailuwslaan,http://www.wikidata.org/entity/Q18941631,Baljuwslaan,Point(4.6417 52.3881),1620,
Baljuw’s Laan,http://www.wikidata.org/entity/Q18941631,Baljuwslaan,Point(4.6417 52.3881),1620,
Banckertstraat,http://www.wikidata.org/entity/Q18942031,Banckertstraat,Point(4.6159 52.3793),1931,
Bandoengstraat,http://www.wikidata.org/entity/Q18942111,Bandoengstraat,Point(4.6543 52.4042),1923,
Bankastraat,http://www.wikidata.org/entity/Q18942238,Bankastraat,Point(4.6478 52.3963),1910,
Bantamstraat,http://www.wikidata.org/entity/Q18942330,Bantamstraat,Point(4.6513 52.4037),1923,
Barbarossastraat,http://www.wikidata.org/entity/Q18942456,Barbarossastraat,Point(4.6477 52.3755),1922,
Barendsestraat,http://www.wikidata.org/entity/Q18942619,Barendsestraat,Point(4.6391 52.3748),1880,
Barnesteeg,http://www.wikidata.org/entity/Q18942896,Barnesteeg,Point(4.6393 52.3781),1454,
Brandesteeg,http://www.wikidata.org/entity/Q18942896,Barnesteeg,Point(4.6393 52.3781),1454,
Barne steeg,http://www.wikidata.org/entity/Q18942896,Barnesteeg,Point(4.6393 52.3781),1454,
Barnaarsteeg,http://www.wikidata.org/entity/Q18942896,Barnesteeg,Point(4.6393 52.3781),1454,
Baron de Coubertinstraat,http://www.wikidata.org/entity/Q18943018,Baron de Coubertinstraat,Point(4.6662 52.3594),,
Baronie,http://www.wikidata.org/entity/Q18943400,Baronie,Point(4.654 52.3488),,
Barrevoetestraat,http://www.wikidata.org/entity/Q18943547,Barrevoetestraat,Point(4.6304 52.3801),1889,
Barrevoete steeg,http://www.wikidata.org/entity/Q18943547,Barrevoetestraat,Point(4.6304 52.3801),1889,
Barteljorisstraat,http://www.wikidata.org/entity/Q2103278,Barteljorisstraat,Point(4.635215 52.382314),1381,
Batte joris straat,http://www.wikidata.org/entity/Q2103278,Barteljorisstraat,Point(4.635215 52.382314),1381,
Basilicumstraat,http://www.wikidata.org/entity/Q18943960,Basilicumstraat,Point(4.642025 52.365117),1992,
Bastiaansstraat,http://www.wikidata.org/entity/Q18944098,Bastiaansstraat,Point(4.6546 52.3731),1934,
Bataviastraat,http://www.wikidata.org/entity/Q18944277,Bataviastraat,Point(4.6518 52.4015),1923,
Batavierenplantsoen,http://www.wikidata.org/entity/Q18944289,Batavierenplantsoen,Point(4.6546 52.4094),1935,
Beeksteeg,http://www.wikidata.org/entity/Q18943308,Beeksteeg,Point(4.641 52.3791),1500,
Beekstraat,http://www.wikidata.org/entity/Q18943308,Beeksteeg,Point(4.641 52.3791),1500,
Beeksteeg of Schippersteeg,http://www.wikidata.org/entity/Q18943308,Beeksteeg,Point(4.641 52.3791),1500,
Beek steeg,http://www.wikidata.org/entity/Q18943308,Beeksteeg,Point(4.641 52.3791),1500,
Beelslaan,http://www.wikidata.org/entity/Q18943720,Beelslaan,Point(4.6278 52.3636),1907,
Begastraat,http://www.wikidata.org/entity/Q18944553,Begastraat,Point(4.6278 52.3954),1917,
Begijnesteeg,http://www.wikidata.org/entity/Q18944632,Begijnesteeg,Point(4.6385 52.3825),1557,
Bagijnen steeg,http://www.wikidata.org/entity/Q18944632,Begijnesteeg,Point(4.6385 52.3825),1557,
Bagynesteegje,http://www.wikidata.org/entity/Q18944632,Begijnesteeg,Point(4.6385 52.3825),1557,
bagijnesteegje,http://www.wikidata.org/entity/Q18944632,Begijnesteeg,Point(4.6385 52.3825),1557,
Begijnhof,http://www.wikidata.org/entity/Q18944642,Begijnhof,Point(4.6391 52.3827),1262,
Het Donker Bagijn Hof,http://www.wikidata.org/entity/Q18944642,Begijnhof,Point(4.6391 52.3827),1262,
Beijnesweg,http://www.wikidata.org/entity/Q18945113,Beijnesweg,Point(4.6666 52.3886),1968,
Belgiëlaan,http://www.wikidata.org/entity/Q18945583,Belgiëlaan,Point(4.646178 52.364527),1960,
Belgradostraat,http://www.wikidata.org/entity/Q18945642,Belgradostraat,Point(4.6462 52.3569),1960,
Bellamystraat,http://www.wikidata.org/entity/Q18945718,Bellamystraat,Point(4.6534 52.3771),1924,
Bellevuelaan,http://www.wikidata.org/entity/Q18945877,Bellevuelaan,Point(4.6342 52.3703),2009,
Ben Lindeboomstraat,http://www.wikidata.org/entity/Q18946068,Ben Lindeboomstraat,Point(4.6605 52.367),,
Ben Neijndorffplein,http://www.wikidata.org/entity/Q18946070,Ben Neijndorffplein,Point(4.64 52.3722),1982,
Ben Viljoenstraat,http://www.wikidata.org/entity/Q18946083,Ben Viljoenstraat,Point(4.6484 52.3928),1902,
Benkoelenstraat,http://www.wikidata.org/entity/Q18946297,Benkoelenstraat,Point(4.6522 52.4065),1931,
Bep van Klaverenstraat,http://www.wikidata.org/entity/Q18946660,Bep van Klaverenstraat,Point(4.6504 52.385),,
Beppie Nooijstraat,http://www.wikidata.org/entity/Q18946671,Beppie Nooijstraat,Point(4.6661 52.3801),1995,
Berckheydestraat,http://www.wikidata.org/entity/Q18946782,Berckheydestraat,Point(4.6368 52.3918),1896,
Bergvennen,http://www.wikidata.org/entity/Q18947920,Bergvennen,Point(4.6569 52.3508),,
Berkenrodesteeg,http://www.wikidata.org/entity/Q18948973,Berkenrodesteeg,Point(4.6384 52.3802),1488,
Berkenroode steeg,http://www.wikidata.org/entity/Q18948973,Berkenrodesteeg,Point(4.6384 52.3802),1488,
Berkenrodestraat,http://www.wikidata.org/entity/Q18948975,Berkenrodestraat,Point(4.619 52.3702),1902,
Berkenstraat,http://www.wikidata.org/entity/Q18949035,Berkenstraat,Point(4.6395 52.4009),1922,
Berlagelaan,http://www.wikidata.org/entity/Q18949337,Berlagelaan,Point(4.6618 52.3801),1958,
Bernadottelaan,http://www.wikidata.org/entity/Q18949561,Bernadottelaan,Point(4.6649 52.358),,
Bernard IJzerdraathof,http://www.wikidata.org/entity/Q18949599,Bernard IJzerdraathof,Point(4.645 52.3788),1982,
Bernard Zweersstraat,http://www.wikidata.org/entity/Q18949713,Bernard Zweersstraat,Point(4.6538 52.3752),1934,
Bernstraat,http://www.wikidata.org/entity/Q18950193,Bernstraat,Point(4.6491 52.3579),1964,
Bertha von Suttnerstraat,http://www.wikidata.org/entity/Q18950260,Bertha von Suttnerstraat,Point(4.6651 52.3526),,
Besoekistraat,http://www.wikidata.org/entity/Q18950399,Besoekistraat,Point(4.6531 52.4037),1925,
Bestevaerstraat,http://www.wikidata.org/entity/Q18950547,Bestevaerstraat,Point(4.6178 52.3829),1936,
Betje Wolffstraat,http://www.wikidata.org/entity/Q18950707,Betje Wolffstraat,Point(4.6516 52.3775),1924,
Betuwelaan,http://www.wikidata.org/entity/Q18950858,Betuwelaan,Point(4.6533 52.3491),,
Beukenstraat,http://www.wikidata.org/entity/Q18951545,Beukenstraat,Point(4.6407 52.3993),1920,
Beveland,http://www.wikidata.org/entity/Q18951933,Beveland,Point(4.6495 52.3471),,
Bidloostraat,http://www.wikidata.org/entity/Q18952370,Bidloostraat,Point(4.66 52.3665),,
Biesbosweg,http://www.wikidata.org/entity/Q18952622,Biesbosweg,Point(4.6538 52.3484),,
Bijdorplaan,http://www.wikidata.org/entity/Q18953167,Bijdorplaan,Point(4.6109 52.3884),1961,
Bijvoetstraat,http://www.wikidata.org/entity/Q18953490,Bijvoetstraat,Point(4.6661 52.3777),1990,
Bilderdijkstraat,http://www.wikidata.org/entity/Q18953663,Bilderdijkstraat,Point(4.624 52.3839),1902,
Billitonstraat,http://www.wikidata.org/entity/Q18953884,Billitonstraat,Point(4.648 52.3967),1910,
Bingerweg,http://www.wikidata.org/entity/Q18954065,Bingerweg,Point(4.663 52.3967),1987,
Bisschop Callierstraat,http://www.wikidata.org/entity/Q18955292,Bisschop Callierstraat,Point(4.6202 52.3771),1935,
Bisschop Luwunstraat,http://www.wikidata.org/entity/Q18955337,Bisschop Luwunstraat,Point(4.6683 52.3767),,
Bisschop Ottostraat,http://www.wikidata.org/entity/Q18955349,Bisschop Ottostraat,Point(4.6485 52.3756),1919,
Blekenbergplein,http://www.wikidata.org/entity/Q18957173,Blekenbergplein,Point(4.6347 52.3992),1929,
Blekenbergstraat,http://www.wikidata.org/entity/Q18957175,Blekenbergstraat,Point(4.6345 52.3992),1929,
Blekerstraat,http://www.wikidata.org/entity/Q18957249,Blekerstraat,Point(4.6454 52.3827),1876,
Het Meniste steegje,http://www.wikidata.org/entity/Q18957249,Blekerstraat,Point(4.6454 52.3827),1876,
Blinkertlaan,http://www.wikidata.org/entity/Q18957556,Blinkertlaan,Point(4.6091 52.3841),1955,
Blinkertpad,http://www.wikidata.org/entity/Q18957560,Blinkertpad,Point(4.6111 52.3847),1955,
Bloemertstraat,http://www.wikidata.org/entity/Q18958029,Bloemertstraat,Point(4.6408 52.3833),1450,
Bloemertsteeg,http://www.wikidata.org/entity/Q18958029,Bloemertstraat,Point(4.6408 52.3833),1450,
Biggen steeg,http://www.wikidata.org/entity/Q18958029,Bloemertstraat,Point(4.6408 52.3833),1450,
Biggesteegje,http://www.wikidata.org/entity/Q18958029,Bloemertstraat,Point(4.6408 52.3833),1450,
Biggesteeg,http://www.wikidata.org/entity/Q18958029,Bloemertstraat,Point(4.6408 52.3833),1450,
Bloemfonteinstraat,http://www.wikidata.org/entity/Q18958041,Bloemfonteinstraat,Point(4.6445 52.3956),1902,
Bloemhofstraat,http://www.wikidata.org/entity/Q18958090,Bloemhofstraat,Point(4.6361 52.3748),1902,
Bloemveldlaan,http://www.wikidata.org/entity/Q18958219,Bloemveldlaan,Point(4.6022 52.3838),1924,
Boedapeststraat,http://www.wikidata.org/entity/Q18958927,Boedapeststraat,Point(4.6499 52.3571),1964,
Boekenrodestraat,http://www.wikidata.org/entity/Q18959276,Boekenrodestraat,Point(4.6199 52.3699),1902,
Boerhaavelaan,http://www.wikidata.org/entity/Q18960428,Boerhaavelaan,Point(4.6585 52.368),1961,
Boerhaavepad,http://www.wikidata.org/entity/Q18960472,Boerhaavepad,Point(4.6491 52.3688),,
Boezemkade,http://www.wikidata.org/entity/Q18960852,Boezemkade,Point(4.6756 52.4143),1925,
Boezemkade (Spaarndam-West),http://www.wikidata.org/entity/Q18960852,Boezemkade,Point(4.6756 52.4143),1925,
Bolwerkslaan,http://www.wikidata.org/entity/Q18961713,Bolwerkslaan,Point(4.6433 52.3876),1876,
Bomanshof,http://www.wikidata.org/entity/Q18961724,Bomanshof,Point(4.6049 52.3683),1973,
Boogstraat,http://www.wikidata.org/entity/Q18962184,Boogstraat,Point(4.6158 52.3712),1902,
Boris Pasternakstraat,http://www.wikidata.org/entity/Q18962705,Boris Pasternakstraat,Point(4.6683 52.3561),,
Borneostraat,http://www.wikidata.org/entity/Q18962755,Borneostraat,Point(4.6446 52.397),1908,
Borskistraat,http://www.wikidata.org/entity/Q18962835,Borskistraat,Point(4.6507 52.4068),1923,
Bos en Hovenstraat,http://www.wikidata.org/entity/Q18962860,Bos en Hovenstraat,Point(4.6175 52.3684),1902,
Bos en Vaartstraat,http://www.wikidata.org/entity/Q18962863,Bos en Vaartstraat,Point(4.6209 52.3696),1902,
Bosrankweg,http://www.wikidata.org/entity/Q18963440,Bosrankweg,Point(4.6043 52.3723),1987,
Botermarkt,http://www.wikidata.org/entity/Q17285972,Botermarkt,Point(4.632148 52.379664),1417,
Oude Ossenmarkt,http://www.wikidata.org/entity/Q17285972,Botermarkt,Point(4.632148 52.379664),1417,
Gasthuiskerkhof of St. Gangolfskerhof,http://www.wikidata.org/entity/Q17285972,Botermarkt,Point(4.632148 52.379664),1417,
Nieuwe Botermarkt,http://www.wikidata.org/entity/Q17285972,Botermarkt,Point(4.632148 52.379664),1417,
Gasthuiskerkhof,http://www.wikidata.org/entity/Q17285972,Botermarkt,Point(4.632148 52.379664),1417,
Botermarkt (Haarlem),http://www.wikidata.org/entity/Q17285972,Botermarkt,Point(4.632148 52.379664),1417,
Ossenmarkt,http://www.wikidata.org/entity/Q17285972,Botermarkt,Point(4.632148 52.379664),1417,
Botermarktt,http://www.wikidata.org/entity/Q17285972,Botermarkt,Point(4.632148 52.379664),1417,
Boterplein,http://www.wikidata.org/entity/Q18964054,Boterplein,Point(4.6261 52.3806),1983,
Boterstraat,http://www.wikidata.org/entity/Q18964073,Boterstraat,Point(4.6258 52.3808),1898,
Botterboulevard,http://www.wikidata.org/entity/Q18964334,Botterboulevard,Point(4.6566 52.4041),2014,
Bouwlustplaats,http://www.wikidata.org/entity/Q18964623,Bouwlustplaats,Point(4.6398 52.3612),2006,
Braillelaan,http://www.wikidata.org/entity/Q18966187,Braillelaan,Point(4.6605 52.356),,
Brakenburghstraat,http://www.wikidata.org/entity/Q18966261,Brakenburghstraat,Point(4.6285 52.3951),1917,
Brammershoop,http://www.wikidata.org/entity/Q18966494,Brammershoop,Point(4.6568 52.3519),,
Brandtstraat,http://www.wikidata.org/entity/Q18966972,Brandtstraat,Point(4.6462 52.3948),1902,
Brederodestraat,http://www.wikidata.org/entity/Q96278597,Brederodestraat,Point(4.625096 52.392613),1909,1965
Breestraat,http://www.wikidata.org/entity/Q18968556,Breestraat,Point(4.631036 52.378914),1464,
breesteeg,http://www.wikidata.org/entity/Q18968556,Breestraat,Point(4.631036 52.378914),1464,
Breedestege,http://www.wikidata.org/entity/Q18968556,Breestraat,Point(4.631036 52.378914),1464,
Bree Steeg,http://www.wikidata.org/entity/Q18968556,Breestraat,Point(4.631036 52.378914),1464,
Breitnerstraat,http://www.wikidata.org/entity/Q18969250,Breitnerstraat,Point(4.6329 52.3911),2014,
Bremlaan,http://www.wikidata.org/entity/Q18969753,Bremlaan,Point(4.6079 52.3688),1935,
Briandlaan,http://www.wikidata.org/entity/Q18970840,Briandlaan,Point(4.6577 52.3552),,
Brinkmannpassage,http://www.wikidata.org/entity/Q18971636,Brinkmannpassage,Point(4.6359 52.3819),1980,
Broekweg,http://www.wikidata.org/entity/Q18974125,Broekweg,Point(4.6487 52.3692),,
Bromostraat,http://www.wikidata.org/entity/Q18974499,Bromostraat,Point(4.6501 52.402),1929,
