namevariant,wikidata,preflabel,coords,begin,end
searchable,wikidata_url,canonical_form,geometry,begin_min,end_max
Harmenjansweg,http://www.wikidata.org/entity/Q17286461,Harmenjansweg,Point(4.643395 52.383228),1808,
Harry Mulischstraat,http://www.wikidata.org/entity/Q19187080,Harry Mulischstraat,Point(4.6454 52.4205),2011,
Hasebroekstraat,http://www.wikidata.org/entity/Q19189667,Hasebroekstraat,Point(4.658 52.3758),1967,
Haspelsstraat,http://www.wikidata.org/entity/Q19190260,Haspelsstraat,Point(4.641 52.4081),1954,
Hasselaersplein,http://www.wikidata.org/entity/Q19190612,Hasselaersplein,Point(4.6271 52.3833),1891,
Havenplein,http://www.wikidata.org/entity/Q19195889,Havenplein,Point(4.6771 52.4161),1926,
Havenplein (Spaarndam-West),http://www.wikidata.org/entity/Q19195889,Havenplein,Point(4.6771 52.4161),1926,
Havikstraat,http://www.wikidata.org/entity/Q19201130,Havikstraat,Point(4.6548 52.4115),1932,
Haya van Somerenpad,http://www.wikidata.org/entity/Q19201225,Haya van Somerenpad,Point(4.6554 52.3554),,
Hazepaterslaan,http://www.wikidata.org/entity/Q19202012,Hazepaterslaan,Point(4.6266 52.3712),1657,
Haesje Paterslaen,http://www.wikidata.org/entity/Q19202012,Hazepaterslaan,Point(4.6266 52.3712),1657,
Paterslaentien,http://www.wikidata.org/entity/Q19202012,Hazepaterslaan,Point(4.6266 52.3712),1657,
Haesieslaen,http://www.wikidata.org/entity/Q19202012,Hazepaterslaan,Point(4.6266 52.3712),1657,
Haasepaterslaan,http://www.wikidata.org/entity/Q19202012,Hazepaterslaan,Point(4.6266 52.3712),1657,
Haazepaterslaan,http://www.wikidata.org/entity/Q19202012,Hazepaterslaan,Point(4.6266 52.3712),1657,
Hedastraat,http://www.wikidata.org/entity/Q19202214,Hedastraat,Point(4.629657 52.395508),1921,
Heerenhek,http://www.wikidata.org/entity/Q98211906,Heerenhek,Point(4.629806 52.375368),1400,1900
Heinrich Böllstraat,http://www.wikidata.org/entity/Q19244543,Heinrich Böllstraat,Point(4.6675 52.3589),,
Heinsiuslaan,http://www.wikidata.org/entity/Q19244600,Heinsiuslaan,Point(4.6204 52.3626),1922,
Heldringstraat,http://www.wikidata.org/entity/Q19245422,Heldringstraat,Point(4.6587 52.3553),,
Hélène Swarthstraat,http://www.wikidata.org/entity/Q19245593,Hélène Swarthstraat,Point(4.6387 52.4064),1939,
Nestorstraat,http://www.wikidata.org/entity/Q19245593,Hélène Swarthstraat,Point(4.6387 52.4064),1939,
Helmbrekersteeg,http://www.wikidata.org/entity/Q19246247,Helmbrekersteeg,Point(4.6369 52.3787),1392,
Helmbreekers steeg,http://www.wikidata.org/entity/Q19246247,Helmbrekersteeg,Point(4.6369 52.3787),1392,
Hellebrekersteeg,http://www.wikidata.org/entity/Q19246247,Helmbrekersteeg,Point(4.6369 52.3787),1392,
Helmlaan,http://www.wikidata.org/entity/Q19246460,Helmlaan,Point(4.6059 52.3693),1935,
Helsinkistraat,http://www.wikidata.org/entity/Q19246678,Helsinkistraat,Point(4.645 52.3603),1964,
Henckenshagen,http://www.wikidata.org/entity/Q19247139,Henckenshagen,Point(4.6552 52.3491),,
Hendrik Figeeweg,http://www.wikidata.org/entity/Q19247432,Hendrik Figeeweg,Point(4.6524 52.3896),1957,
Hendrik Figeeweg (Waarderpolder),http://www.wikidata.org/entity/Q19247432,Hendrik Figeeweg,Point(4.6524 52.3896),1957,
Hendrik Roozenlaan,http://www.wikidata.org/entity/Q19247623,Hendrik Roozenlaan,Point(4.6067 52.3814),1924,
Henk Schijvenaarstraat,http://www.wikidata.org/entity/Q19248333,Henk Schijvenaarstraat,Point(4.6484 52.3857),,
Henk van Turnhoutpad,http://www.wikidata.org/entity/Q19248359,Henk van Turnhoutpad,Point(4.638408 52.36779),1979,
Henri Borelstraat,http://www.wikidata.org/entity/Q19248518,Henri Borelstraat,Point(4.6386 52.407),1954,
Henri Dunantstraat,http://www.wikidata.org/entity/Q19248583,Henri Dunantstraat,Point(4.6662 52.3574),,
Henriëtte Bosmansstraat,http://www.wikidata.org/entity/Q19248810,Henriëtte Bosmansstraat,Point(4.6537 52.3716),1953,2016
Herculesstraat,http://www.wikidata.org/entity/Q19249373,Herculesstraat,Point(4.6372 52.4046),1930,
Herensingel,http://www.wikidata.org/entity/Q15876258,Herensingel,Point(4.6447 52.3787),1876,
Herensingel (Haarlem),http://www.wikidata.org/entity/Q15876258,Herensingel,Point(4.6447 52.3787),1876,
Bullensingel,http://www.wikidata.org/entity/Q15876258,Herensingel,Point(4.6447 52.3787),1876,
Gedempte Herensingel,http://www.wikidata.org/entity/Q15876258,Herensingel,Point(4.6447 52.3787),1876,
Bullencingel,http://www.wikidata.org/entity/Q15876258,Herensingel,Point(4.6447 52.3787),1876,
Bullen Singel,http://www.wikidata.org/entity/Q15876258,Herensingel,Point(4.6447 52.3787),1876,
Heringaweg,http://www.wikidata.org/entity/Q19250020,Heringaweg,Point(4.6544 52.3936),1973,
Herman Gorterstraat,http://www.wikidata.org/entity/Q19250123,Herman Gorterstraat,Point(4.635972 52.407106),1954,
Herman Heijermanspad,http://www.wikidata.org/entity/Q19250149,Herman Heijermanspad,Point(4.637 52.4074),1954,
Herman Heijermansplein,http://www.wikidata.org/entity/Q19250150,Herman Heijermansplein,Point(4.6368 52.4077),1954,
Herman Heijermansstraat,http://www.wikidata.org/entity/Q19250155,Herman Heijermansstraat,Point(4.6364 52.4085),1954,
Herman Kruyderplein,http://www.wikidata.org/entity/Q19250180,Herman Kruyderplein,Point(4.6646 52.3767),1958,
Herman Robbersstraat,http://www.wikidata.org/entity/Q19250196,Herman Robbersstraat,Point(4.6396 52.4075),1954,
Herman van den Berghstraat,http://www.wikidata.org/entity/Q19250207,Herman van den Berghstraat,Point(4.6451 52.4176),,
Hertzogstraat,http://www.wikidata.org/entity/Q19251155,Hertzogstraat,Point(4.6489 52.3929),1902,
Heussensstraat,http://www.wikidata.org/entity/Q19252460,Heussensstraat,Point(4.6323 52.3987),1929,
Hieronymus van Alphenstraat,http://www.wikidata.org/entity/Q19252778,Hieronymus van Alphenstraat,Point(4.6545 52.3776),1915,
Hildebrandlaan,http://www.wikidata.org/entity/Q19252834,Hildebrandlaan,Point(4.6322 52.367),1907,
Hodsonstraat,http://www.wikidata.org/entity/Q19253433,Hodsonstraat,Point(4.6508 52.4075),1923,
Hoeufftstraat,http://www.wikidata.org/entity/Q19254711,Hoeufftstraat,Point(4.6453 52.405),1925,
Hoevevreugdplaats,http://www.wikidata.org/entity/Q19254913,Hoevevreugdplaats,Point(4.6407 52.3613),2006,
Hof van Egmond,http://www.wikidata.org/entity/Q19255084,Hof van Egmond,Point(4.6484 52.3725),1922,
Hofdijkstraat,http://www.wikidata.org/entity/Q19255370,Hofdijkstraat,Point(4.6519 52.3773),1915,
Hofmeijerstraat,http://www.wikidata.org/entity/Q19256027,Hofmeijerstraat,Point(4.6445 52.3725),1922,
Hogerwoerdstraat,http://www.wikidata.org/entity/Q19258646,Hogerwoerdstraat,Point(4.6375 52.3981),1905,
Holsteynstraat,http://www.wikidata.org/entity/Q19253757,Holsteynstraat,Point(4.6397 52.3919),1900,
Hommeldijk,http://www.wikidata.org/entity/Q19254208,Hommeldijk,Point(4.6522 52.3419),1991,
Hondsbos,http://www.wikidata.org/entity/Q19254417,Hondsbos,Point(4.647 52.3519),,
Hongarijepad,http://www.wikidata.org/entity/Q19254662,Hongarijepad,Point(4.649 52.3637),1960,
Hoofmanstraat,http://www.wikidata.org/entity/Q19256026,Hoofmanstraat,Point(4.6225 52.3849),1918,
Hoogstraat,http://www.wikidata.org/entity/Q19257743,Hoogstraat,Point(4.6389 52.3791),1485,
Korte of Kleine Hagestraat,http://www.wikidata.org/entity/Q19257743,Hoogstraat,Point(4.6389 52.3791),1485,
Hoog straat,http://www.wikidata.org/entity/Q19257743,Hoogstraat,Point(4.6389 52.3791),1485,
Hooimarkt,http://www.wikidata.org/entity/Q17286477,Hooimarkt,Point(4.642052 52.384514),1686,
Buyten Spaerne,http://www.wikidata.org/entity/Q17286477,Hooimarkt,Point(4.642052 52.384514),1686,
Vriessche Varkenmarkt of Hooimarkt,http://www.wikidata.org/entity/Q17286477,Hooimarkt,Point(4.642052 52.384514),1686,
Hortusplein,http://www.wikidata.org/entity/Q19262335,Hortusplein,Point(4.63 52.3815),2009,
Hospeslaan,http://www.wikidata.org/entity/Q19262375,Hospeslaan,Point(4.6057 52.3841),1924,
Houtmankade,http://www.wikidata.org/entity/Q19263129,Houtmankade,Point(4.6182 52.3837),1937,
Houtmanpad,http://www.wikidata.org/entity/Q19263133,Houtmanpad,Point(4.6117 52.3845),1955,
Zandvaartpad,http://www.wikidata.org/entity/Q19263133,Houtmanpad,Point(4.6117 52.3845),1955,
Novililaan,http://www.wikidata.org/entity/Q19263133,Houtmanpad,Point(4.6117 52.3845),1955,
Neufvillelaan,http://www.wikidata.org/entity/Q19263133,Houtmanpad,Point(4.6117 52.3845),1955,
Laan van Schoonoord,http://www.wikidata.org/entity/Q19263133,Houtmanpad,Point(4.6117 52.3845),1955,
Brouwersvaartpad,http://www.wikidata.org/entity/Q19263133,Houtmanpad,Point(4.6117 52.3845),1955,
Houtmarkt,http://www.wikidata.org/entity/Q17286478,Houtmarkt,Point(4.645455 52.381237),1700,
Stroomarkt,http://www.wikidata.org/entity/Q17286478,Houtmarkt,Point(4.645455 52.381237),1700,
Langedijk,http://www.wikidata.org/entity/Q17286478,Houtmarkt,Point(4.645455 52.381237),1700,
Houtplein,http://www.wikidata.org/entity/Q17287346,Houtplein,Point(4.630212 52.374201),1700,
Houtplein (Haarlem),http://www.wikidata.org/entity/Q17287346,Houtplein,Point(4.630212 52.374201),1700,
Plein,http://www.wikidata.org/entity/Q17287346,Houtplein,Point(4.630212 52.374201),1700,
Houtvaartpad,http://www.wikidata.org/entity/Q19263929,Houtvaartpad,Point(4.6162 52.3814),1600,
Houtvaart,http://www.wikidata.org/entity/Q19263929,Houtvaartpad,Point(4.6162 52.3814),1600,
Hugo de Grootstraat,http://www.wikidata.org/entity/Q19264834,Hugo de Grootstraat,Point(4.6625 52.3534),,
Hulswitweg,http://www.wikidata.org/entity/Q19265895,Hulswitweg,Point(4.6676 52.3894),1984,
Hunzestraat,http://www.wikidata.org/entity/Q19266215,Hunzestraat,Point(4.6503 52.4111),1935,
Huzarenstraat,http://www.wikidata.org/entity/Q19266645,Huzarenstraat,Point(4.6379 52.3946),2010,
Hyacintenlaan,http://www.wikidata.org/entity/Q19266653,Hyacintenlaan,Point(4.6192 52.385),1917,
Iepenstraat,http://www.wikidata.org/entity/Q19267210,Iepenstraat,Point(4.6417 52.401),1920,
Ierlandstraat,http://www.wikidata.org/entity/Q19267525,Ierlandstraat,Point(4.6482 52.3665),1963,
IJdijk,http://www.wikidata.org/entity/Q19267728,IJdijk,Point(4.6783 52.4139),1200,
IJdijk (Spaarndam-West),http://www.wikidata.org/entity/Q19267728,IJdijk,Point(4.6783 52.4139),1200,
IJsbaanlaan,http://www.wikidata.org/entity/Q19267956,IJsbaanlaan,Point(4.6268 52.4003),1993,
IJslandpark,http://www.wikidata.org/entity/Q97578179,IJslandpark,Point(4.645685 52.360935),2016,
IJsselstraat,http://www.wikidata.org/entity/Q19268831,IJsselstraat,Point(4.6479 52.4147),1926,
Indischestraat,http://www.wikidata.org/entity/Q19270484,Indischestraat,Point(4.6491 52.402),1923,
Ingen-Houszstraat,http://www.wikidata.org/entity/Q19270869,Ingen-Houszstraat,Point(4.6625 52.3672),,
Iordensstraat,http://www.wikidata.org/entity/Q19270982,Iordensstraat,Point(4.6263 52.3744),1899,
Ipenrodestraat,http://www.wikidata.org/entity/Q19270987,Ipenrodestraat,Point(4.6182 52.368),1902,
Ir. Lelyweg,http://www.wikidata.org/entity/Q19271066,Ir. Lelyweg,Point(4.6571 52.3868),1948,
Irisstraat,http://www.wikidata.org/entity/Q19271424,Irisstraat,Point(4.6199 52.3847),1985,
Istanboelstraat,http://www.wikidata.org/entity/Q19271664,Istanboelstraat,Point(4.647 52.357),1964,
Italiëlaan,http://www.wikidata.org/entity/Q19272341,Italiëlaan,Point(4.645372 52.361291),1960,
Izaäk Enschedéweg,http://www.wikidata.org/entity/Q19272501,Izaäk Enschedéweg,Point(4.6607 52.3886),1955,
J. Craandijkstraat,http://www.wikidata.org/entity/Q19272785,J. Craandijkstraat,Point(4.6579 52.3801),1953,
J.H. Leopoldstraat,http://www.wikidata.org/entity/Q19273270,J.H. Leopoldstraat,Point(4.638779 52.410643),1954,
J.J. Hamelinkstraat,http://www.wikidata.org/entity/Q19273333,J.J. Hamelinkstraat,Point(4.643 52.371),1953,
J.W. Lucasweg,http://www.wikidata.org/entity/Q19273484,J.W. Lucasweg,Point(4.6645 52.3909),1964,
Lucasweg,http://www.wikidata.org/entity/Q19273484,J.W. Lucasweg,Point(4.6645 52.3909),1964,
Jaagpad,http://www.wikidata.org/entity/Q19273525,Jaagpad,Point(4.63574 52.355811),1900,
Jaap Edenlaan,http://www.wikidata.org/entity/Q19273569,Jaap Edenlaan,Point(4.6331 52.4096),1971,
Jac. van Looystraat,http://www.wikidata.org/entity/Q19273639,Jac. van Looystraat,Point(4.6569 52.3771),1934,
Jacob Catslaan,http://www.wikidata.org/entity/Q19273829,Jacob Catslaan,Point(4.622 52.3623),1922,
Jacob Geelstraat,http://www.wikidata.org/entity/Q19273970,Jacob Geelstraat,Point(4.6512 52.378),1924,
Jacob Marisstraat,http://www.wikidata.org/entity/Q96312704,Jacob Marisstraat,Point(4.634171 52.391319),2014,
Jacob van Lenneplaan,http://www.wikidata.org/entity/Q19274436,Jacob van Lenneplaan,Point(4.6293 52.364),1907,
